---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.897625
mean_fail_rate: 0.101125
mean_sloth_rate: 0.00125
recall_50: 0.904
recall_90: 0.874
mean_wall_collisions: 0.35246875
mean_inefficient_turns: 2.1521875
mean_inefficient_revisits: 0.04296875
mean_distance_inefficiency: 1.3558034641401537
mean_closure_inefficiency: 1.2609057656605092
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.6390625
mean_fail_rate: 0.35484375
mean_sloth_rate: 0.00609375
recall_50: 0.655
recall_90: 0.545
mean_wall_collisions: 0.635
mean_inefficient_turns: 7.10828125
mean_inefficient_revisits: 0.6171875
mean_distance_inefficiency: 1.810894695912914
mean_closure_inefficiency: 2.0813728923868413
---------------------------------------------------------------
Maze 0| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.25| IR: 0.0| DI: 1.130952380952381| CI: 1.0
Maze 1| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.46875| IT: 2.09375| IR: 0.1875| DI: nan| CI: nan
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 3.59375| IR: 0.125| DI: 1.3273848684210527| CI: 1.0833333333333335
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.90625| IR: 0.0| DI: 1.5062003968253967| CI: 1.21875
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 3.34375| IR: 0.0| DI: 1.5248737373737373| CI: 1.7447916666666665
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.28125| IR: 0.0| DI: 1.107328869047619| CI: 1.1020833333333333
Maze 6| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.4375| IT: 0.875| IR: 0.03125| DI: 1.1867171717171716| CI: 1.025
Maze 7| Su: 0.59375| Fa: 0.40625| Sl: 0.0| WC: 0.1875| IT: 3.25| IR: 0.0| DI: 1.513379602853287| CI: 1.2
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.3125| IR: 0.0625| DI: 1.1818448733660132| CI: 1.0
Maze 9| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.1875| IT: 1.28125| IR: 0.0| DI: nan| CI: nan
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.625| IR: 0.03125| DI: 1.2138206845238095| CI: 1.1640625
Maze 11| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.25| IT: 0.8125| IR: 0.0| DI: 1.1082101806239735| CI: 1.0724137931034483
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.8125| IR: 0.03125| DI: 1.158396291208791| CI: 1.0859375
Maze 13| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 2.3125| IR: 0.0| DI: 1.5047123015873016| CI: 1.0
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.03125| IR: 0.0| DI: 1.0286458333333335| CI: 1.0
Maze 15| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.34375| IT: 1.28125| IR: 0.03125| DI: nan| CI: nan
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.8125| IR: 0.0| DI: 1.2183779761904763| CI: 1.2052083333333332
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.28125| IR: 0.0| DI: 1.1072916666666668| CI: 1.0989583333333335
Maze 18| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.21875| IR: 0.0| DI: 1.1026785714285714| CI: 1.0625
Maze 19| Su: 0.84375| Fa: 0.15625| Sl: 0.0| WC: 0.09375| IT: 0.96875| IR: 0.0625| DI: 1.9476190476190476| CI: 1.4851851851851852
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.5| IR: 0.09375| DI: 1.2958333333333334| CI: 1.284375
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.40625| IR: 0.0| DI: 1.1708333333333334| CI: 1.1484375
Maze 22| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.875| IR: 0.0625| DI: 1.5720486111111112| CI: 1.3671875
Maze 23| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.25| IT: 2.34375| IR: 0.0| DI: 1.5703042328042327| CI: 1.3166666666666667
Maze 24| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.53125| IR: 0.0| DI: 1.1529017857142856| CI: 1.1541666666666666
Maze 25| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 5.375| IR: 0.0625| DI: 2.294554924242424| CI: 2.3984375
Maze 26| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 2.34375| IR: 0.0| DI: 1.3671016483516485| CI: 1.0625
Maze 27| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.59375| IT: 2.53125| IR: 0.0625| DI: nan| CI: nan
Maze 28| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.75| IR: 0.0| DI: 1.2436011904761906| CI: 1.03125
Maze 29| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.53125| IR: 0.0| DI: 1.155877976190476| CI: 1.1333333333333333
Maze 30| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.0| DI: 1.3047619047619048| CI: 1.0
Maze 31| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.125| IR: 0.0| DI: 1.0614583333333334| CI: 1.0546875
Maze 32| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.59375| IR: 0.0| DI: 1.1864583333333334| CI: 1.1302083333333335
Maze 33| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.4375| IR: 0.0| DI: 1.1205357142857142| CI: 1.103125
Maze 34| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.71875| IT: 1.59375| IR: 0.125| DI: 1.178473630831643| CI: 1.1551724137931034
Maze 35| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.375| IT: 1.125| IR: 0.0| DI: 1.2174744897959182| CI: 1.260714285714286
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.59375| IR: 0.0| DI: 1.1953125| CI: 1.1015625
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.1875| IR: 0.0| DI: 1.1333333333333333| CI: 1.0
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.25| IR: 0.0| DI: 1.1026785714285716| CI: 1.0208333333333335
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.59375| IR: 0.0| DI: 1.2166666666666668| CI: 1.2473958333333335
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 2.1875| IR: 0.0| DI: 1.5182291666666665| CI: 1.0625
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.25| IR: 0.0625| DI: 1.276736111111111| CI: 1.1875
Maze 42| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.28125| IT: 0.1875| IR: 0.0| DI: 1.114516129032258| CI: 1.0537634408602152
Maze 43| Su: 0.28125| Fa: 0.71875| Sl: 0.0| WC: 0.3125| IT: 2.0| IR: 0.0| DI: 1.7513227513227514| CI: 1.2000000000000002
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.75| IR: 0.0| DI: 1.1515151515151514| CI: 1.09375
Maze 45| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.8125| IR: 0.0| DI: 1.3815972222222221| CI: 1.8125
Maze 46| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 3.15625| IR: 0.0| DI: 1.3354013480392157| CI: 1.1964285714285712
Maze 47| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.25| IR: 0.0| DI: 1.0701264880952381| CI: 1.03125
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.375| IR: 0.0| DI: 1.0706845238095237| CI: 1.03125
Maze 49| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.125| IR: 0.0| DI: 1.0578125| CI: 1.0286458333333335
Maze 50| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 3.96875| IR: 0.0| DI: 1.7880791083916083| CI: 1.625
Maze 51| Su: 0.46875| Fa: 0.40625| Sl: 0.125| WC: 1.65625| IT: 205.40625| IR: 0.40625| DI: 15.06255892255892| CI: 24.400000000000002
