---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99975
mean_fail_rate: 0.00025
mean_sloth_rate: 0.0
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.45396875
mean_inefficient_turns: 1.2418125
mean_inefficient_revisits: 0.016625
mean_distance_inefficiency: 1.2902876496315283
mean_closure_inefficiency: 1.1980275607233268
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99890625
mean_fail_rate: 0.0009375
mean_sloth_rate: 0.00015625
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.55234375
mean_inefficient_turns: 1.85109375
mean_inefficient_revisits: 0.17
mean_distance_inefficiency: 1.447784411805743
mean_closure_inefficiency: 1.2429387501009854
---------------------------------------------------------------
Maze 0| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.15625| IR: 0.0| DI: 1.3586309523809523| CI: 1.34375
Maze 1| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 2.03125| IR: 0.03125| DI: 1.2320723684210528| CI: 1.0703125
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 2.59375| IR: 0.3125| DI: 1.2840578007518797| CI: 1.3125
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.34375| IR: 0.0| DI: 1.310639880952381| CI: 1.328125
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 1.3125| IR: 0.0| DI: 1.191256313131313| CI: 1.2291666666666665
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.6875| IR: 0.0| DI: 1.2280505952380951| CI: 1.196875
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.28125| IR: 0.0| DI: 1.2566761363636363| CI: 1.1796875
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.8125| IR: 0.03125| DI: 1.244436813186813| CI: 1.21875
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 1.875| IR: 0.0| DI: 1.2357409109477122| CI: 1.15625
Maze 9| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 2.15625| IR: 0.46875| DI: 1.2920454545454545| CI: 1.1171875
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 1.5| IR: 0.0| DI: 1.2320684523809524| CI: 1.09375
Maze 11| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.125| IR: 0.0| DI: 1.2834821428571428| CI: 1.21875
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 1.6875| IR: 0.0| DI: 1.2492559523809523| CI: 1.125
Maze 13| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.03125| IR: 0.0| DI: 1.2327628968253967| CI: 1.0625
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.46875| IR: 0.0| DI: 1.203125| CI: 1.1796875
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 1.0625| IR: 0.0| DI: 1.1634901556776556| CI: 1.075
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.8125| IR: 0.0| DI: 1.232328869047619| CI: 1.234375
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 1.09375| IR: 0.0| DI: 1.3541666666666667| CI: 1.3489583333333335
Maze 18| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.71875| IR: 0.0| DI: 1.2336309523809523| CI: 1.125
Maze 19| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.625| IR: 0.46875| DI: 2.603422619047619| CI: 1.26875
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.5| IR: 0.0| DI: 1.2421130952380952| CI: 1.23125
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.71875| IR: 0.0| DI: 1.2567708333333334| CI: 1.1666666666666667
Maze 22| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.21875| IT: 0.84375| IR: 0.0| DI: 1.2172299027137738| CI: 1.1935483870967742
Maze 23| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.96875| IR: 0.0| DI: 1.542534722222222| CI: 1.1875
Maze 24| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.71875| IR: 0.0| DI: 1.1638764880952381| CI: 1.1906249999999998
Maze 25| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 1.84375| IR: 0.03125| DI: 1.3497632575757574| CI: 1.3015625000000002
Maze 26| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.84375| IR: 0.0| DI: 1.324004120879121| CI: 1.125
Maze 27| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.65625| IR: 0.0| DI: 1.3998015873015872| CI: 1.296875
Maze 28| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.5| IR: 0.0| DI: 1.2101190476190475| CI: 1.140625
Maze 29| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 0.6875| IR: 0.0| DI: 1.2524181547619047| CI: 1.2541666666666667
Maze 30| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.78125| IR: 0.0| DI: 1.2769345238095238| CI: 1.09375
Maze 31| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.59375| IR: 0.0| DI: 1.2796875| CI: 1.3203125
Maze 32| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.6875| IR: 0.0| DI: 1.2260416666666667| CI: 1.2057291666666667
Maze 33| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.78125| IR: 0.0| DI: 1.25390625| CI: 1.24375
Maze 34| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.90625| IR: 0.03125| DI: 1.2206341911764707| CI: 1.1171875
Maze 35| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 1.1875| IR: 0.0| DI: 1.2805059523809523| CI: 1.2531249999999998
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.75| IR: 0.0| DI: 1.2185639880952381| CI: 1.2109375
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.4375| IR: 0.0| DI: 1.6| CI: 1.03125
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.84375| IR: 0.0| DI: 1.2468377976190477| CI: 1.2916666666666667
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.6875| IR: 0.0| DI: 1.3182291666666668| CI: 1.3359375
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.09375| IR: 0.0| DI: 1.283544146825397| CI: 1.15625
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.6875| IR: 0.0| DI: 1.3054924242424244| CI: 1.296875
Maze 42| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.59375| IR: 0.0| DI: 1.2958333333333334| CI: 1.2708333333333335
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.84375| IR: 0.0| DI: 1.3689856150793651| CI: 1.1875
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 1.4375| IR: 0.0| DI: 1.2744002525252525| CI: 1.1796875
