---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 0| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.65625| IR: 0.0| DI: 1.2104166666666667| CI: 1.03125
Maze 1| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.625| IR: 0.1875| DI: 1.2275036549707603| CI: 1.0
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 1.375| IR: 0.125| DI: 1.1881148182957393| CI: 1.0208333333333335
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.375| IR: 0.0| DI: 1.103546626984127| CI: 1.0703125
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.15625| IR: 0.0| DI: 1.2039772727272726| CI: 1.1458333333333333
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.84375| IR: 0.0| DI: 1.2379092261904763| CI: 1.2260416666666667
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.28125| IR: 0.0| DI: 1.1971117424242423| CI: 1.0546875
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 0.78125| IR: 0.125| DI: 1.2029418498168498| CI: 1.10625
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0| IT: 0.65625| IR: 0.0625| DI: 1.163590175653595| CI: 1.0625
Maze 9| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 1.59375| IR: 0.03125| DI: 1.16660579004329| CI: 1.046875
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.75| IR: 0.15625| DI: 1.3085751488095236| CI: 1.1796875
Maze 11| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.4375| IR: 0.0| DI: 1.1340773809523808| CI: 1.0750000000000002
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.9375| IR: 0.0625| DI: 1.21371336996337| CI: 1.1484375
Maze 13| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.96875| IR: 0.0| DI: 1.2240823412698412| CI: 1.03125
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.75| IR: 0.0| DI: 1.3057291666666666| CI: 1.3828125
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.09375| IR: 0.0| DI: 1.1754235347985347| CI: 1.0
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.5| IR: 0.0| DI: 1.1852678571428572| CI: 1.171875
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.59375| IR: 0.0| DI: 1.2572916666666667| CI: 1.234375
Maze 18| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 0.75| IR: 0.0| DI: 1.296875| CI: 1.03125
Maze 19| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.75| IR: 0.0| DI: 1.325297619047619| CI: 1.25625
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.90625| IR: 0.0| DI: 1.3651785714285714| CI: 1.365625
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.25| IR: 0.0| DI: 1.14375| CI: 1.0520833333333335
Maze 22| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.625| IR: 0.0| DI: 1.1919022817460316| CI: 1.1015625
Maze 23| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 1.46875| IR: 0.03125| DI: 1.396205357142857| CI: 1.0
Maze 24| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.90625| IR: 0.0| DI: 1.330171130952381| CI: 1.3552083333333331
