T:0.5989583333333334,|0.390625,V:0.5260416666666666,|0.4479166666666667,
T:0.578125,|0.4010416666666667,V:0.5104166666666666,|0.4739583333333333,
T:0.5364583333333334,|0.453125,V:0.53125,|0.4635416666666667,
T:0.6666666666666666,|0.3333333333333333,V:0.5260416666666666,|0.4739583333333333,
T:0.6666666666666666,|0.3333333333333333,V:0.5260416666666666,|0.4635416666666667,
T:0.6302083333333334,|0.3697916666666667,V:0.5572916666666666,|0.4375,
T:0.65625,|0.34375,V:0.640625,|0.359375,
T:0.6666666666666666,|0.3333333333333333,V:0.5572916666666666,|0.4322916666666667,
T:0.6822916666666666,|0.3177083333333333,V:0.625,|0.3697916666666667,
T:0.6510416666666666,|0.3489583333333333,V:0.6875,|0.3125,
T:0.6875,|0.3125,V:0.671875,|0.328125,
T:0.6614583333333334,|0.3385416666666667,V:0.625,|0.3697916666666667,
T:0.7291666666666666,|0.2708333333333333,V:0.6979166666666666,|0.3020833333333333,
T:0.8020833333333334,|0.19791666666666666,V:0.7447916666666666,|0.2552083333333333,
T:0.78125,|0.21875,V:0.6875,|0.3125,
T:0.8177083333333334,|0.18229166666666666,V:0.65625,|0.34375,
T:0.7239583333333334,|0.2760416666666667,V:0.71875,|0.28125,
T:0.7552083333333334,|0.24479166666666666,V:0.6510416666666666,|0.3489583333333333,
T:0.7552083333333334,|0.24479166666666666,V:0.7395833333333334,|0.2604166666666667,
T:0.7708333333333334,|0.22916666666666666,V:0.75,|0.25,
T:0.78125,|0.21875,V:0.6666666666666666,|0.3333333333333333,
T:0.796875,|0.203125,V:0.7708333333333334,|0.22916666666666666,
T:0.7916666666666666,|0.20833333333333334,V:0.6770833333333334,|0.3229166666666667,
T:0.796875,|0.203125,V:0.7083333333333334,|0.2916666666666667,
T:0.8697916666666666,|0.13020833333333334,V:0.75,|0.25,
T:0.78125,|0.21875,V:0.7604166666666666,|0.23958333333333334,
T:0.859375,|0.140625,V:0.75,|0.25,
T:0.9114583333333334,|0.08854166666666667,V:0.78125,|0.21875,
T:0.90625,|0.09375,V:0.8177083333333334,|0.18229166666666666,
T:0.9270833333333334,|0.07291666666666667,V:0.8541666666666666,|0.14583333333333334,
T:0.9427083333333334,|0.052083333333333336,V:0.90625,|0.08854166666666667,
T:0.9791666666666666,|0.015625,V:0.921875,|0.07291666666666667,
T:0.9583333333333334,|0.041666666666666664,V:0.9322916666666666,|0.06770833333333333,
T:0.9947916666666666,|0.005208333333333333,V:0.9739583333333334,|0.020833333333333332,
T:0.9739583333333334,|0.020833333333333332,V:0.9791666666666666,|0.020833333333333332,
T:0.984375,|0.015625,V:0.9635416666666666,|0.036458333333333336,
T:0.9947916666666666,|0.005208333333333333,V:0.984375,|0.015625,
T:1.0,|0.0,V:0.9791666666666666,|0.020833333333333332,
T:0.9895833333333334,|0.010416666666666666,V:0.9895833333333334,|0.010416666666666666,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:1.0,|0.0,
T:0.9947916666666666,|0.0,V:0.9895833333333334,|0.010416666666666666,
T:0.9947916666666666,|0.005208333333333333,V:1.0,|0.0,
T:1.0,|0.0,V:0.9895833333333334,|0.010416666666666666,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:0.9895833333333334,|0.010416666666666666,V:0.9791666666666666,|0.020833333333333332,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:0.984375,|0.015625,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:0.9947916666666666,|0.005208333333333333,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:1.0,|0.0,
T:1.0,|0.0,V:1.0,|0.0,
T:0.9947916666666666,|0.005208333333333333,V:1.0,|0.0,
