T:0.6458333333333334,|0.3541666666666667,V:0.5833333333333334,|0.4166666666666667,
T:0.5833333333333334,|0.4166666666666667,V:0.5208333333333334,|0.4791666666666667,
T:0.5885416666666666,|0.4114583333333333,V:0.546875,|0.453125,
T:0.578125,|0.421875,V:0.5052083333333334,|0.4947916666666667,
T:0.6354166666666666,|0.3645833333333333,V:0.5416666666666666,|0.4583333333333333,
T:0.625,|0.375,V:0.6041666666666666,|0.3958333333333333,
T:0.5833333333333334,|0.4166666666666667,V:0.640625,|0.359375,
T:0.6822916666666666,|0.3177083333333333,V:0.5989583333333334,|0.4010416666666667,
T:0.703125,|0.296875,V:0.6666666666666666,|0.328125,
T:0.6875,|0.3125,V:0.6770833333333334,|0.3229166666666667,
T:0.71875,|0.28125,V:0.6979166666666666,|0.3020833333333333,
T:0.703125,|0.296875,V:0.6822916666666666,|0.3177083333333333,
T:0.6822916666666666,|0.3177083333333333,V:0.6979166666666666,|0.3020833333333333,
T:0.7604166666666666,|0.23958333333333334,V:0.6666666666666666,|0.3333333333333333,
T:0.703125,|0.296875,V:0.703125,|0.296875,
T:0.7135416666666666,|0.28125,V:0.75,|0.25,
T:0.75,|0.25,V:0.75,|0.24479166666666666,
T:0.7708333333333334,|0.22916666666666666,V:0.7135416666666666,|0.2864583333333333,
T:0.7239583333333334,|0.2760416666666667,V:0.7083333333333334,|0.2916666666666667,
T:0.765625,|0.234375,V:0.6875,|0.3072916666666667,
T:0.7239583333333334,|0.2760416666666667,V:0.7239583333333334,|0.2760416666666667,
T:0.765625,|0.234375,V:0.6979166666666666,|0.3020833333333333,
T:0.7708333333333334,|0.22916666666666666,V:0.7135416666666666,|0.2760416666666667,
T:0.8020833333333334,|0.19791666666666666,V:0.71875,|0.28125,
T:0.796875,|0.203125,V:0.71875,|0.2708333333333333,
T:0.765625,|0.234375,V:0.7291666666666666,|0.2708333333333333,
T:0.7291666666666666,|0.2708333333333333,V:0.7083333333333334,|0.2916666666666667,
T:0.8020833333333334,|0.19791666666666666,V:0.6979166666666666,|0.3020833333333333,
T:0.7916666666666666,|0.20833333333333334,V:0.7291666666666666,|0.265625,
T:0.7760416666666666,|0.22395833333333334,V:0.6770833333333334,|0.3177083333333333,
T:0.8125,|0.1875,V:0.765625,|0.234375,
T:0.7864583333333334,|0.21354166666666666,V:0.7083333333333334,|0.2916666666666667,
T:0.8177083333333334,|0.18229166666666666,V:0.6510416666666666,|0.3489583333333333,
T:0.734375,|0.265625,V:0.7708333333333334,|0.22916666666666666,
T:0.8020833333333334,|0.19791666666666666,V:0.6302083333333334,|0.3697916666666667,
T:0.8229166666666666,|0.17708333333333334,V:0.6875,|0.3125,
T:0.8020833333333334,|0.19791666666666666,V:0.7239583333333334,|0.2708333333333333,
T:0.8333333333333334,|0.16666666666666666,V:0.7447916666666666,|0.2552083333333333,
T:0.8385416666666666,|0.16145833333333334,V:0.7135416666666666,|0.2864583333333333,
T:0.7916666666666666,|0.20833333333333334,V:0.6614583333333334,|0.3385416666666667,
T:0.8645833333333334,|0.13541666666666666,V:0.65625,|0.34375,
T:0.8385416666666666,|0.16145833333333334,V:0.734375,|0.265625,
T:0.8489583333333334,|0.15104166666666666,V:0.6875,|0.3072916666666667,
T:0.8489583333333334,|0.15104166666666666,V:0.7291666666666666,|0.2708333333333333,
T:0.8229166666666666,|0.17708333333333334,V:0.7395833333333334,|0.2604166666666667,
T:0.796875,|0.203125,V:0.6614583333333334,|0.3333333333333333,
T:0.828125,|0.171875,V:0.6875,|0.3072916666666667,
T:0.8489583333333334,|0.15104166666666666,V:0.7291666666666666,|0.265625,
T:0.8229166666666666,|0.17708333333333334,V:0.671875,|0.3229166666666667,
T:0.8489583333333334,|0.15104166666666666,V:0.765625,|0.234375,
T:0.875,|0.125,V:0.765625,|0.22916666666666666,
T:0.8489583333333334,|0.15104166666666666,V:0.7239583333333334,|0.2760416666666667,
T:0.8541666666666666,|0.14583333333333334,V:0.6770833333333334,|0.3229166666666667,
T:0.859375,|0.140625,V:0.7604166666666666,|0.23958333333333334,
T:0.875,|0.125,V:0.7291666666666666,|0.2708333333333333,
T:0.890625,|0.109375,V:0.71875,|0.28125,
T:0.8177083333333334,|0.18229166666666666,V:0.7239583333333334,|0.2760416666666667,
T:0.8958333333333334,|0.10416666666666667,V:0.6979166666666666,|0.2916666666666667,
T:0.921875,|0.078125,V:0.71875,|0.28125,
T:0.8802083333333334,|0.11979166666666667,V:0.8072916666666666,|0.19270833333333334,
T:0.8958333333333334,|0.10416666666666667,V:0.7552083333333334,|0.23958333333333334,
T:0.8802083333333334,|0.11979166666666667,V:0.7708333333333334,|0.22916666666666666,
T:0.8802083333333334,|0.11979166666666667,V:0.7395833333333334,|0.2552083333333333,
T:0.90625,|0.09375,V:0.7291666666666666,|0.24479166666666666,
T:0.875,|0.125,V:0.734375,|0.25,
T:0.890625,|0.109375,V:0.7604166666666666,|0.22916666666666666,
T:0.9010416666666666,|0.09895833333333333,V:0.7395833333333334,|0.2604166666666667,
T:0.890625,|0.109375,V:0.7604166666666666,|0.22916666666666666,
T:0.8697916666666666,|0.13020833333333334,V:0.7708333333333334,|0.22916666666666666,
T:0.8697916666666666,|0.13020833333333334,V:0.78125,|0.21875,
T:0.9166666666666666,|0.08333333333333333,V:0.7604166666666666,|0.22916666666666666,
T:0.9322916666666666,|0.06770833333333333,V:0.78125,|0.21875,
T:0.9114583333333334,|0.08854166666666667,V:0.7395833333333334,|0.2604166666666667,
T:0.890625,|0.109375,V:0.7291666666666666,|0.2708333333333333,
T:0.921875,|0.078125,V:0.7552083333333334,|0.22916666666666666,
T:0.9010416666666666,|0.09895833333333333,V:0.7708333333333334,|0.22916666666666666,
T:0.890625,|0.109375,V:0.8020833333333334,|0.19791666666666666,
T:0.921875,|0.07291666666666667,V:0.75,|0.23958333333333334,
T:0.9010416666666666,|0.09375,V:0.796875,|0.19270833333333334,
T:0.921875,|0.078125,V:0.7760416666666666,|0.21875,
T:0.9479166666666666,|0.052083333333333336,V:0.8697916666666666,|0.11458333333333333,
T:0.9635416666666666,|0.036458333333333336,V:0.8333333333333334,|0.16666666666666666,
T:0.9479166666666666,|0.052083333333333336,V:0.8229166666666666,|0.16666666666666666,
T:0.96875,|0.03125,V:0.8072916666666666,|0.19270833333333334,
T:0.9270833333333334,|0.07291666666666667,V:0.8020833333333334,|0.19791666666666666,
T:0.9739583333333334,|0.026041666666666668,V:0.859375,|0.140625,
T:0.9583333333333334,|0.041666666666666664,V:0.84375,|0.14583333333333334,
T:0.953125,|0.046875,V:0.8489583333333334,|0.15104166666666666,
T:0.9166666666666666,|0.08333333333333333,V:0.8697916666666666,|0.13020833333333334,
T:0.9479166666666666,|0.052083333333333336,V:0.8072916666666666,|0.19270833333333334,
T:0.984375,|0.015625,V:0.8697916666666666,|0.13020833333333334,
T:0.9427083333333334,|0.057291666666666664,V:0.8854166666666666,|0.11458333333333333,
T:0.9635416666666666,|0.036458333333333336,V:0.84375,|0.15625,
T:0.9427083333333334,|0.057291666666666664,V:0.875,|0.125,
T:0.9583333333333334,|0.041666666666666664,V:0.8645833333333334,|0.13541666666666666,
T:0.96875,|0.03125,V:0.90625,|0.09375,
T:0.9375,|0.0625,V:0.8854166666666666,|0.11458333333333333,
T:0.9583333333333334,|0.041666666666666664,V:0.859375,|0.140625,
T:0.9635416666666666,|0.036458333333333336,V:0.921875,|0.078125,
T:0.9791666666666666,|0.020833333333333332,V:0.921875,|0.078125,
T:0.953125,|0.046875,V:0.9114583333333334,|0.08854166666666667,
T:0.9427083333333334,|0.057291666666666664,V:0.9114583333333334,|0.08854166666666667,
T:0.953125,|0.046875,V:0.8854166666666666,|0.11458333333333333,
T:0.9791666666666666,|0.020833333333333332,V:0.9166666666666666,|0.08333333333333333,
T:0.96875,|0.03125,V:0.9427083333333334,|0.057291666666666664,
T:0.984375,|0.015625,V:0.9166666666666666,|0.08333333333333333,
T:0.9739583333333334,|0.026041666666666668,V:0.9166666666666666,|0.08333333333333333,
