---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 0| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.28125| IT: 9.28125| IR: 0.53125| DI: nan| CI: nan
Maze 1| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 6.9375| IT: 32.90625| IR: 4.21875| DI: nan| CI: nan
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.96875| IT: 17.125| IR: 1.21875| DI: 2.5671495623941274| CI: 1.4416666666666667
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 4.25| IT: 11.15625| IR: 1.3125| DI: 1.8638314852150537| CI: 1.296875
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.4375| IR: 0.0| DI: 1.1551215277777778| CI: 1.1238839285714286
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.5| IR: 0.0| DI: 1.2083333333333333| CI: 1.1588541666666667
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.3125| IT: 4.46875| IR: 0.0| DI: 1.5908394607843137| CI: 1.1812500000000001
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.15625| IT: 6.53125| IR: 0.28125| DI: 1.7663896339168077| CI: 1.109375
Maze 8| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 35.15625| IT: 208.59375| IR: 43.6875| DI: nan| CI: nan
Maze 9| Su: 0.65625| Fa: 0.0| Sl: 0.34375| WC: 17.0| IT: 110.71875| IR: 11.90625| DI: 5.791680911680911| CI: 1.1825396825396826
Maze 10| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 3.09375| IT: 11.8125| IR: 1.46875| DI: 2.2375420875420877| CI: 2.408333333333333
Maze 11| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.96875| IT: 2.25| IR: 0.0| DI: nan| CI: nan
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 4.9375| IT: 12.0| IR: 1.5| DI: 2.1581000274926687| CI: 1.285565476190476
Maze 13| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.4375| IT: 2.15625| IR: 0.09375| DI: nan| CI: nan
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.59375| IR: 0.0| DI: 1.1880580357142856| CI: 1.025
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.5| IT: 12.28125| IR: 0.75| DI: 1.9728992770479838| CI: 1.4275173611111112
Maze 16| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.53125| IT: 3.5| IR: 0.15625| DI: 1.6043010752688176| CI: 1.3870967741935487
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.5625| IT: 12.21875| IR: 0.3125| DI: 2.234036915204678| CI: 1.1625
Maze 18| Su: 0.78125| Fa: 0.21875| Sl: 0.0| WC: 3.28125| IT: 10.25| IR: 1.03125| DI: 2.5899736495388668| CI: 2.195
Maze 19| Su: 0.6875| Fa: 0.0| Sl: 0.3125| WC: 19.53125| IT: 167.96875| IR: 25.59375| DI: 9.607474951124145| CI: 1.0
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 1.21875| IR: 0.0| DI: 1.2935887896825395| CI: 1.335565476190476
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.5| IT: 9.5| IR: 0.625| DI: 2.9739947552447554| CI: 1.1848958333333335
Maze 22| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.53125| IT: 1.375| IR: 0.0| DI: nan| CI: nan
Maze 23| Su: 0.78125| Fa: 0.21875| Sl: 0.0| WC: 3.0| IT: 8.875| IR: 0.34375| DI: 1.9054545454545453| CI: 1.1914285714285713
Maze 24| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 6.4375| IT: 34.9375| IR: 6.3125| DI: 4.875| CI: 1.0
Maze 25| Su: 0.5625| Fa: 0.4375| Sl: 0.0| WC: 1.53125| IT: 4.96875| IR: 0.15625| DI: 1.697124756335283| CI: 1.1200396825396826
Maze 26| Su: 0.5| Fa: 0.5| Sl: 0.0| WC: 2.9375| IT: 10.71875| IR: 1.375| DI: 2.1232883963862226| CI: 1.0375
Maze 27| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 2.59375| IR: 0.0| DI: 1.6173611111111112| CI: 1.228125
Maze 28| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.125| IT: 5.6875| IR: 0.28125| DI: 1.8828125| CI: 1.546875
Maze 29| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 5.4375| IT: 21.90625| IR: 2.15625| DI: nan| CI: nan
