---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.79300625
mean_fail_rate: 0.138075
mean_sloth_rate: 0.06891875
recall_50: 0.7978
recall_90: 0.7084
mean_wall_collisions: 8.5177875
mean_inefficient_turns: 17.5884
mean_inefficient_revisits: 2.4706875
mean_distance_inefficiency: 2.0011098372560996
mean_closure_inefficiency: 1.1510811155927796
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.70525
mean_fail_rate: 0.20490625
mean_sloth_rate: 0.08984375
recall_50: 0.709
recall_90: 0.512
mean_wall_collisions: 11.4703125
mean_inefficient_turns: 24.98828125
mean_inefficient_revisits: 3.64684375
mean_distance_inefficiency: 2.982039203133027
mean_closure_inefficiency: 1.2965413511911024
---------------------------------------------------------------
Maze 0| Su: 0.0| Fa: 0.84375| Sl: 0.15625| WC: 15.625| IT: 39.78125| IR: 5.96875| DI: nan| CI: nan
Maze 1| Su: 0.0625| Fa: 0.25| Sl: 0.6875| WC: 71.875| IT: 150.8125| IR: 25.71875| DI: 7.473684210526316| CI: 1.25
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.40625| IT: 3.09375| IR: 0.15625| DI: 1.350484660267269| CI: 1.0572916666666665
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.8125| IT: 7.5| IR: 0.09375| DI: 1.49774655577957| CI: 1.015625
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.5625| IR: 0.0| DI: 1.1526909722222223| CI: 1.13671875
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.375| IR: 0.0| DI: 1.2546875| CI: 1.125
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.25| IT: 3.90625| IR: 0.0| DI: 1.6045879289215685| CI: 1.1125
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.59375| IT: 2.90625| IR: 0.0625| DI: 1.3281544089968005| CI: 1.0999999999999999
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.9375| IT: 9.875| IR: 0.4375| DI: 1.6500155583214793| CI: 1.078125
Maze 9| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 8.4375| IT: 15.15625| IR: 1.28125| DI: 1.977094017094017| CI: 1.0161290322580645
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 1.1875| IR: 0.0| DI: 1.237594696969697| CI: 1.20703125
Maze 11| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 4.875| IT: 8.0| IR: 0.65625| DI: 2.225| CI: 1.2857142857142858
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 3.625| IT: 6.09375| IR: 0.21875| DI: 1.4801804588220917| CI: 1.0770833333333334
Maze 13| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.84375| IT: 4.4375| IR: 0.28125| DI: nan| CI: nan
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.5625| IR: 0.0| DI: 1.1467633928571428| CI: 1.1875
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.5625| IT: 4.78125| IR: 0.15625| DI: 1.4603331394818464| CI: 1.1484375
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.4375| IR: 0.0| DI: 1.229945054945055| CI: 1.1354166666666667
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.375| IT: 3.65625| IR: 0.0625| DI: 1.4245431286549708| CI: 1.16875
Maze 18| Su: 0.71875| Fa: 0.28125| Sl: 0.0| WC: 2.03125| IT: 4.4375| IR: 0.0625| DI: 1.4649925531305492| CI: 1.144927536231884
Maze 19| Su: 0.625| Fa: 0.375| Sl: 0.0| WC: 4.9375| IT: 14.4375| IR: 1.46875| DI: 2.31054435483871| CI: 1.21
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 0.90625| IR: 0.0| DI: 1.290922619047619| CI: 1.1785714285714284
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 1.3125| IR: 0.0| DI: 1.1954217657342656| CI: 1.0677083333333335
Maze 22| Su: 0.0625| Fa: 0.9375| Sl: 0.0| WC: 1.75| IT: 3.0625| IR: 0.40625| DI: 1.5714285714285714| CI: 1.0
Maze 23| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.75| IT: 2.59375| IR: 0.0| DI: 1.3092061923583662| CI: 1.0546875
Maze 24| Su: 0.25| Fa: 0.0| Sl: 0.75| WC: 74.90625| IT: 145.90625| IR: 20.9375| DI: 4.314535256410256| CI: 1.25
Maze 25| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 2.34375| IR: 0.0| DI: 1.3391904239766084| CI: 1.0797991071428572
Maze 26| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.875| IT: 4.71875| IR: 0.0625| DI: 1.4982883963862226| CI: 1.0625
Maze 27| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 0.75| IR: 0.0| DI: 1.2296006944444446| CI: 1.075
Maze 28| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 2.65625| IR: 0.03125| DI: 1.4266183035714286| CI: 1.046875
Maze 29| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 91.1875| IT: 178.1875| IR: 27.96875| DI: nan| CI: nan
Maze 30| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.65625| IT: 3.1875| IR: 0.03125| DI: 1.3831727756892231| CI: 1.09375
Maze 31| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.9375| IT: 2.34375| IR: 0.0| DI: 1.3140931372549018| CI: 1.1041666666666665
Maze 32| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.21875| IR: 0.0| DI: 1.0822916666666667| CI: 1.0520833333333335
Maze 33| Su: 0.46875| Fa: 0.5| Sl: 0.03125| WC: 6.84375| IT: 13.9375| IR: 1.34375| DI: 2.26236231884058| CI: 1.1333333333333333
Maze 34| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 7.0| IT: 12.5625| IR: 0.9375| DI: 1.50649575883707| CI: 1.025806451612903
Maze 35| Su: 0.09375| Fa: 0.0| Sl: 0.90625| WC: 82.5| IT: 162.78125| IR: 29.8125| DI: 2.3047921071176884| CI: 1.0
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 0.1875| IR: 0.0| DI: 1.0635416666666666| CI: 1.046875
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.25| IT: 2.25| IR: 0.03125| DI: 1.488068181818182| CI: 1.0833333333333335
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 2.0| IR: 0.15625| DI: 1.6076085372960374| CI: 1.015625
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.78125| IT: 1.28125| IR: 0.0| DI: 1.3009548611111112| CI: 1.1
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.4375| IT: 2.125| IR: 0.0| DI: 1.3206645596835227| CI: 1.09375
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.03125| IT: 1.03125| IR: 0.0| DI: 1.321875| CI: 1.0
Maze 42| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.59375| IT: 4.59375| IR: 0.125| DI: 1.4892804206662902| CI: 1.046875
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.59375| IT: 3.0| IR: 0.15625| DI: 1.4547267371861023| CI: 1.078125
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.875| IT: 1.8125| IR: 0.0| DI: 1.3379407051282053| CI: 1.16015625
Maze 45| Su: 0.0| Fa: 0.84375| Sl: 0.15625| WC: 19.40625| IT: 41.6875| IR: 5.9375| DI: nan| CI: nan
Maze 46| Su: 0.25| Fa: 0.4375| Sl: 0.3125| WC: 35.0625| IT: 66.3125| IR: 11.96875| DI: 1.5550114118250815| CI: 1.0
Maze 47| Su: 0.59375| Fa: 0.0| Sl: 0.40625| WC: 34.09375| IT: 76.375| IR: 16.375| DI: 1.4993678528304568| CI: 1.1263157894736842
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.59375| IR: 0.0| DI: 1.165625| CI: 1.1328125
Maze 49| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.4375| IT: 4.5625| IR: 0.09375| DI: 1.4084646739130435| CI: 1.1145833333333333
Maze 50| Su: 0.59375| Fa: 0.25| Sl: 0.15625| WC: 21.1875| IT: 46.78125| IR: 7.40625| DI: 4.379804775095633| CI: 1.0526315789473684
Maze 51| Su: 0.71875| Fa: 0.28125| Sl: 0.0| WC: 1.625| IT: 3.71875| IR: 0.09375| DI: 1.3888912757060206| CI: 1.2028985507246377
Maze 52| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 2.90625| IT: 9.1875| IR: 1.03125| DI: 1.5180321138076058| CI: 1.0430107526881722
