---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.7075125
mean_fail_rate: 0.20130625
mean_sloth_rate: 0.09118125
recall_50: 0.7176
recall_90: 0.5438
mean_wall_collisions: 9.33523125
mean_inefficient_turns: 21.2310625
mean_inefficient_revisits: 4.51469375
mean_distance_inefficiency: 2.2784332222894865
mean_closure_inefficiency: 1.3535254916351944
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.66378125
mean_fail_rate: 0.2265625
mean_sloth_rate: 0.10965625
recall_50: 0.671
recall_90: 0.45
mean_wall_collisions: 11.31653125
mean_inefficient_turns: 26.4275625
mean_inefficient_revisits: 5.34971875
mean_distance_inefficiency: 2.732557747030805
mean_closure_inefficiency: 1.4266674221751052
---------------------------------------------------------------
Maze 0| Su: 0.0| Fa: 0.71875| Sl: 0.28125| WC: 27.78125| IT: 30.65625| IR: 9.09375| DI: nan| CI: nan
Maze 1| Su: 0.0625| Fa: 0.6875| Sl: 0.25| WC: 28.5625| IT: 46.5625| IR: 17.96875| DI: 3.612266112266112| CI: 1.0
Maze 2| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 3.59375| IT: 12.0| IR: 2.71875| DI: 2.037837805018731| CI: 1.1806451612903226
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 4.75| IT: 8.65625| IR: 0.375| DI: 1.6574113743279568| CI: 1.1041666666666665
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.46875| IR: 0.0| DI: 1.153298611111111| CI: 1.1305803571428572
Maze 5| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.96875| IR: 0.0| DI: 1.3578124999999999| CI: 1.3072916666666667
Maze 6| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 5.125| IT: 12.96875| IR: 4.625| DI: 2.4276879084967318| CI: 1.2666666666666668
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.8125| IT: 4.25| IR: 0.09375| DI: 1.4469991059664973| CI: 1.1890625
Maze 8| Su: 0.1875| Fa: 0.0625| Sl: 0.75| WC: 57.09375| IT: 172.125| IR: 29.78125| DI: 4.381453822243295| CI: 1.6333333333333335
Maze 9| Su: 0.90625| Fa: 0.0| Sl: 0.09375| WC: 6.53125| IT: 15.03125| IR: 6.6875| DI: 2.2452578838785735| CI: 1.0402298850574714
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.09375| IR: 0.0| DI: 1.204955808080808| CI: 1.12109375
Maze 11| Su: 0.0625| Fa: 0.875| Sl: 0.0625| WC: 6.28125| IT: 20.25| IR: 2.78125| DI: 1.7564102564102564| CI: 1.0
Maze 12| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 4.75| IT: 12.09375| IR: 2.1875| DI: 1.714185625768612| CI: 1.0483870967741935
Maze 13| Su: 0.0| Fa: 0.96875| Sl: 0.03125| WC: 3.5625| IT: 13.0| IR: 3.71875| DI: nan| CI: nan
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.34375| IR: 0.0| DI: 1.1480654761904763| CI: 1.03125
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.09375| IT: 7.15625| IR: 0.15625| DI: 1.5133686257069878| CI: 1.1783854166666665
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 1.8125| IR: 0.03125| DI: 1.3066964285714286| CI: 1.1510416666666665
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.375| IT: 9.375| IR: 0.0625| DI: 1.836284722222222| CI: 1.0625
Maze 18| Su: 0.28125| Fa: 0.71875| Sl: 0.0| WC: 1.75| IT: 6.28125| IR: 0.21875| DI: 2.187582345191041| CI: 1.0787037037037037
Maze 19| Su: 0.53125| Fa: 0.03125| Sl: 0.4375| WC: 30.875| IT: 68.65625| IR: 23.4375| DI: 3.8129269449715375| CI: 1.1323529411764706
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.6875| IR: 0.0| DI: 1.1675967261904763| CI: 1.1599702380952381
