---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 0| Su: 0.0| Fa: 0.1875| Sl: 0.8125| WC: 89.6875| IT: 174.9375| IR: 29.09375| DI: nan| CI: nan
Maze 1| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 105.125| IT: 180.21875| IR: 27.9375| DI: nan| CI: nan
Maze 2| Su: 0.0625| Fa: 0.0| Sl: 0.9375| WC: 93.625| IT: 182.46875| IR: 27.5| DI: 14.61904761904762| CI: 8.416666666666668
Maze 3| Su: 0.0625| Fa: 0.0| Sl: 0.9375| WC: 104.75| IT: 182.3125| IR: 24.96875| DI: 12.29032258064516| CI: 11.333333333333334
Maze 4| Su: 0.90625| Fa: 0.0| Sl: 0.09375| WC: 42.21875| IT: 76.21875| IR: 10.53125| DI: 19.94875478927203| CI: 21.749384236453203
Maze 5| Su: 0.875| Fa: 0.0625| Sl: 0.0625| WC: 33.59375| IT: 64.03125| IR: 7.625| DI: 29.054166666666667| CI: 35.69940476190476
Maze 6| Su: 0.5| Fa: 0.0| Sl: 0.5| WC: 70.1875| IT: 134.84375| IR: 19.03125| DI: 14.854718137254903| CI: 14.475
Maze 7| Su: 0.0625| Fa: 0.0| Sl: 0.9375| WC: 97.75| IT: 182.5| IR: 25.6875| DI: 13.954545454545455| CI: 21.9375
Maze 8| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 102.65625| IT: 188.1875| IR: 25.03125| DI: nan| CI: nan
Maze 9| Su: 0.125| Fa: 0.0| Sl: 0.875| WC: 100.5625| IT: 181.375| IR: 25.53125| DI: 16.23076923076923| CI: 32.333333333333336
Maze 10| Su: 0.34375| Fa: 0.09375| Sl: 0.5625| WC: 73.6875| IT: 151.96875| IR: 19.0| DI: 29.538934802571166| CI: 33.82954545454545
