---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.978909375
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.967546875
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Maze 0| Su: 1.0
Maze 1| Su: 0.96875
Maze 2| Su: 0.96875
Maze 3| Su: 1.0
Maze 4| Su: 1.0
Maze 5| Su: 0.90625
Maze 6| Su: 1.0
Maze 7| Su: 1.0
Maze 8| Su: 1.0
Maze 9| Su: 0.96875
Maze 10| Su: 1.0
Maze 11| Su: 1.0
Maze 12| Su: 0.875
Maze 13| Su: 1.0
Maze 14| Su: 0.90625
Maze 15| Su: 1.0
Maze 16| Su: 1.0
Maze 17| Su: 1.0
Maze 18| Su: 1.0
Maze 19| Su: 1.0
Maze 20| Su: 0.96875
Maze 21| Su: 1.0
Maze 22| Su: 1.0
Maze 23| Su: 0.96875
Maze 24| Su: 1.0
Maze 25| Su: 1.0
Maze 26| Su: 0.9375
Maze 27| Su: 1.0
Maze 28| Su: 1.0
Maze 29| Su: 0.96875
Maze 30| Su: 0.9375
Maze 31| Su: 1.0
Maze 32| Su: 1.0
Maze 33| Su: 0.96875
Maze 34| Su: 1.0
Maze 35| Su: 1.0
Maze 36| Su: 0.9375
Maze 37| Su: 0.9375
Maze 38| Su: 0.9375
Maze 39| Su: 1.0
Maze 40| Su: 1.0
Maze 41| Su: 1.0
Maze 42| Su: 0.8125
Maze 43| Su: 1.0
Maze 44| Su: 1.0
Maze 45| Su: 1.0
Maze 46| Su: 1.0
Maze 47| Su: 1.0
Maze 48| Su: 0.96875
Maze 49| Su: 1.0
Maze 50| Su: 0.96875
Maze 51| Su: 1.0
Maze 52| Su: 1.0
Maze 53| Su: 1.0
Maze 54| Su: 1.0
Maze 55| Su: 1.0
Maze 56| Su: 1.0
Maze 57| Su: 1.0
Maze 58| Su: 0.96875
Maze 59| Su: 1.0
Maze 60| Su: 1.0
Maze 61| Su: 1.0
Maze 62| Su: 1.0
Maze 63| Su: 1.0
Maze 64| Su: 0.96875
Maze 65| Su: 1.0
Maze 66| Su: 0.96875
Maze 67| Su: 1.0
Maze 68| Su: 0.96875
Maze 69| Su: 0.96875
Maze 70| Su: 1.0
Maze 71| Su: 0.96875
Maze 72| Su: 0.96875
Maze 73| Su: 1.0
Maze 74| Su: 0.875
Maze 75| Su: 1.0
Maze 76| Su: 0.875
Maze 77| Su: 1.0
Maze 78| Su: 0.9375
Maze 79| Su: 1.0
Maze 80| Su: 0.9375
Maze 81| Su: 1.0
Maze 82| Su: 1.0
Maze 83| Su: 1.0
Maze 84| Su: 0.90625
Maze 85| Su: 1.0
Maze 86| Su: 1.0
Maze 87| Su: 1.0
Maze 88| Su: 0.96875
Maze 89| Su: 1.0
Maze 90| Su: 1.0
Maze 91| Su: 1.0
Maze 92| Su: 1.0
Maze 93| Su: 1.0
Maze 94| Su: 1.0
Maze 95| Su: 1.0
Maze 96| Su: 0.9375
Maze 97| Su: 1.0
Maze 98| Su: 1.0
Maze 99| Su: 1.0
Maze 100| Su: 1.0
Maze 101| Su: 1.0
Maze 102| Su: 1.0
Maze 103| Su: 1.0
Maze 104| Su: 1.0
Maze 105| Su: 0.96875
Maze 106| Su: 1.0
Maze 107| Su: 0.59375
Maze 108| Su: 1.0
Maze 109| Su: 0.9375
Maze 110| Su: 1.0
Maze 111| Su: 1.0
Maze 112| Su: 1.0
Maze 113| Su: 1.0
Maze 114| Su: 1.0
Maze 115| Su: 1.0
Maze 116| Su: 0.96875
Maze 117| Su: 1.0
Maze 118| Su: 1.0
Maze 119| Su: 0.9375
Maze 120| Su: 0.90625
Maze 121| Su: 0.875
Maze 122| Su: 1.0
Maze 123| Su: 1.0
Maze 124| Su: 1.0
Maze 125| Su: 1.0
Maze 126| Su: 1.0
Maze 127| Su: 1.0
Maze 128| Su: 0.96875
Maze 129| Su: 0.96875
Maze 130| Su: 1.0
Maze 131| Su: 0.96875
Maze 132| Su: 0.875
Maze 133| Su: 1.0
Maze 134| Su: 1.0
Maze 135| Su: 0.875
Maze 136| Su: 1.0
Maze 137| Su: 1.0
Maze 138| Su: 0.96875
Maze 139| Su: 0.875
Maze 140| Su: 1.0
Maze 141| Su: 1.0
Maze 142| Su: 1.0
Maze 143| Su: 1.0
Maze 144| Su: 0.96875
Maze 145| Su: 1.0
Maze 146| Su: 0.96875
Maze 147| Su: 1.0
Maze 148| Su: 1.0
Maze 149| Su: 1.0
Maze 150| Su: 1.0
Maze 151| Su: 1.0
Maze 152| Su: 0.96875
Maze 153| Su: 0.90625
Maze 154| Su: 1.0
Maze 155| Su: 0.90625
Maze 156| Su: 1.0
Maze 157| Su: 1.0
Maze 158| Su: 1.0
Maze 159| Su: 1.0
Maze 160| Su: 1.0
Maze 161| Su: 0.75
Maze 162| Su: 1.0
Maze 163| Su: 1.0
Maze 164| Su: 1.0
Maze 165| Su: 1.0
Maze 166| Su: 0.96875
Maze 167| Su: 0.90625
Maze 168| Su: 1.0
Maze 169| Su: 0.90625
Maze 170| Su: 1.0
Maze 171| Su: 1.0
Maze 172| Su: 0.96875
Maze 173| Su: 1.0
Maze 174| Su: 1.0
Maze 175| Su: 1.0
Maze 176| Su: 1.0
Maze 177| Su: 1.0
Maze 178| Su: 1.0
Maze 179| Su: 1.0
Maze 180| Su: 1.0
Maze 181| Su: 1.0
Maze 182| Su: 1.0
Maze 183| Su: 0.8125
Maze 184| Su: 1.0
Maze 185| Su: 1.0
Maze 186| Su: 1.0
Maze 187| Su: 1.0
Maze 188| Su: 0.9375
