T:0.005208333333333333,|0.14583333333333334,V:0.005208333333333333,|0.13020833333333334,
T:0.0,|0.10416666666666667,V:0.005208333333333333,|0.09895833333333333,
T:0.005208333333333333,|0.06770833333333333,V:0.0,|0.08333333333333333,
T:0.005208333333333333,|0.041666666666666664,V:0.0,|0.03125,
T:0.010416666666666666,|0.03125,V:0.0,|0.020833333333333332,
T:0.0,|0.046875,V:0.0,|0.036458333333333336,
T:0.0,|0.026041666666666668,V:0.0,|0.020833333333333332,
T:0.0,|0.036458333333333336,V:0.005208333333333333,|0.03125,
T:0.005208333333333333,|0.036458333333333336,V:0.0,|0.052083333333333336,
T:0.0,|0.026041666666666668,V:0.0,|0.03125,
T:0.0,|0.020833333333333332,V:0.0,|0.046875,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.010416666666666666,V:0.0,|0.010416666666666666,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.005208333333333333,V:0.0,|0.005208333333333333,
T:0.0,|0.0,V:0.005208333333333333,|0.015625,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.005208333333333333,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.005208333333333333,
T:0.0,|0.0,V:0.0,|0.005208333333333333,
T:0.0,|0.005208333333333333,V:0.005208333333333333,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.005208333333333333,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.0,
T:0.005208333333333333,|0.0,V:0.0,|0.0,
T:0.0,|0.0,V:0.0,|0.005208333333333333,
T:0.0,|0.0,V:0.005208333333333333,|0.0,
T:0.005208333333333333,|0.0,V:0.005208333333333333,|0.0,
T:0.005208333333333333,|0.0,V:0.0,|0.0,
T:0.020833333333333332,|0.005208333333333333,V:0.015625,|0.005208333333333333,
T:0.010416666666666666,|0.005208333333333333,V:0.0,|0.005208333333333333,
T:0.020833333333333332,|0.0,V:0.020833333333333332,|0.0,
T:0.036458333333333336,|0.0,V:0.046875,|0.0,
T:0.041666666666666664,|0.0,V:0.020833333333333332,|0.0,
T:0.010416666666666666,|0.0,V:0.020833333333333332,|0.0,
T:0.03125,|0.0,V:0.015625,|0.0,
T:0.026041666666666668,|0.005208333333333333,V:0.03125,|0.005208333333333333,
T:0.036458333333333336,|0.0,V:0.03125,|0.0,
T:0.010416666666666666,|0.0,V:0.020833333333333332,|0.0,
T:0.020833333333333332,|0.0,V:0.036458333333333336,|0.0,
T:0.020833333333333332,|0.0,V:0.020833333333333332,|0.0,
T:0.041666666666666664,|0.0,V:0.046875,|0.010416666666666666,
T:0.046875,|0.0,V:0.03125,|0.0,
T:0.046875,|0.0,V:0.052083333333333336,|0.0,
T:0.08854166666666667,|0.0,V:0.06770833333333333,|0.0,
T:0.052083333333333336,|0.0,V:0.08333333333333333,|0.0,
T:0.052083333333333336,|0.0,V:0.0625,|0.0,
T:0.020833333333333332,|0.0,V:0.015625,|0.0,
T:0.06770833333333333,|0.005208333333333333,V:0.046875,|0.0,
T:0.0625,|0.005208333333333333,V:0.057291666666666664,|0.0,
T:0.07291666666666667,|0.0,V:0.078125,|0.0,
T:0.06770833333333333,|0.0,V:0.08854166666666667,|0.0,
T:0.036458333333333336,|0.0,V:0.0625,|0.0,
T:0.057291666666666664,|0.0,V:0.07291666666666667,|0.0,
T:0.078125,|0.0,V:0.036458333333333336,|0.0,
T:0.052083333333333336,|0.0,V:0.052083333333333336,|0.0,
T:0.057291666666666664,|0.0,V:0.036458333333333336,|0.0,
T:0.057291666666666664,|0.0,V:0.046875,|0.0,
T:0.046875,|0.0,V:0.07291666666666667,|0.0,
T:0.046875,|0.0,V:0.09375,|0.0,
T:0.046875,|0.0,V:0.08333333333333333,|0.0,
T:0.08333333333333333,|0.0,V:0.057291666666666664,|0.0,
T:0.09895833333333333,|0.0,V:0.078125,|0.0,
T:0.0625,|0.0,V:0.0625,|0.0,
T:0.057291666666666664,|0.0,V:0.09375,|0.0,
T:0.057291666666666664,|0.0,V:0.041666666666666664,|0.0,
T:0.078125,|0.0,V:0.08333333333333333,|0.0,
T:0.036458333333333336,|0.0,V:0.07291666666666667,|0.0,
T:0.078125,|0.0,V:0.06770833333333333,|0.0,
T:0.046875,|0.0,V:0.046875,|0.0,
T:0.07291666666666667,|0.0,V:0.06770833333333333,|0.0,
T:0.06770833333333333,|0.0,V:0.052083333333333336,|0.0,
T:0.057291666666666664,|0.0,V:0.09375,|0.0,
T:0.041666666666666664,|0.0,V:0.041666666666666664,|0.0,
T:0.03125,|0.0,V:0.03125,|0.0,
T:0.046875,|0.0,V:0.07291666666666667,|0.0,
T:0.07291666666666667,|0.0,V:0.07291666666666667,|0.0,
T:0.078125,|0.0,V:0.03125,|0.0,
T:0.041666666666666664,|0.0,V:0.057291666666666664,|0.0,
T:0.0625,|0.0,V:0.052083333333333336,|0.0,
T:0.036458333333333336,|0.0,V:0.041666666666666664,|0.0,
T:0.057291666666666664,|0.0,V:0.057291666666666664,|0.0,
T:0.03125,|0.0,V:0.0625,|0.0,
T:0.08854166666666667,|0.0,V:0.052083333333333336,|0.0,
T:0.03125,|0.0,V:0.046875,|0.0,
T:0.0625,|0.0,V:0.07291666666666667,|0.0,
T:0.08333333333333333,|0.0,V:0.052083333333333336,|0.0,
T:0.057291666666666664,|0.0,V:0.046875,|0.0,
T:0.0625,|0.0,V:0.052083333333333336,|0.0,
T:0.046875,|0.0,V:0.06770833333333333,|0.0,
T:0.052083333333333336,|0.0,V:0.078125,|0.0,
T:0.046875,|0.0,V:0.06770833333333333,|0.0,
T:0.09895833333333333,|0.0,V:0.09895833333333333,|0.0,
T:0.057291666666666664,|0.0,V:0.0625,|0.0,
T:0.0625,|0.0,V:0.0625,|0.0,
T:0.057291666666666664,|0.0,V:0.078125,|0.0,
T:0.041666666666666664,|0.0,V:0.041666666666666664,|0.0,
T:0.041666666666666664,|0.005208333333333333,V:0.0625,|0.0,
T:0.046875,|0.005208333333333333,V:0.08854166666666667,|0.0,
T:0.052083333333333336,|0.0,V:0.07291666666666667,|0.0,
T:0.06770833333333333,|0.0,V:0.08333333333333333,|0.0,
T:0.057291666666666664,|0.005208333333333333,V:0.09895833333333333,|0.0,
T:0.06770833333333333,|0.0,V:0.06770833333333333,|0.0,
T:0.052083333333333336,|0.0,V:0.057291666666666664,|0.0,
T:0.0625,|0.0,V:0.046875,|0.0,
T:0.041666666666666664,|0.0,V:0.03125,|0.0,
T:0.078125,|0.0,V:0.057291666666666664,|0.0,
T:0.0625,|0.0,V:0.046875,|0.0,
T:0.046875,|0.0,V:0.09375,|0.0,
T:0.08854166666666667,|0.0,V:0.078125,|0.0,
T:0.041666666666666664,|0.0,V:0.052083333333333336,|0.0,
T:0.041666666666666664,|0.0,V:0.046875,|0.0,
T:0.09895833333333333,|0.0,V:0.057291666666666664,|0.0,
T:0.046875,|0.010416666666666666,V:0.09895833333333333,|0.0,
T:0.057291666666666664,|0.010416666666666666,V:0.052083333333333336,|0.0,
T:0.09895833333333333,|0.0,V:0.06770833333333333,|0.0,
T:0.07291666666666667,|0.0,V:0.06770833333333333,|0.005208333333333333,
T:0.036458333333333336,|0.0,V:0.015625,|0.0,
T:0.03125,|0.0,V:0.06770833333333333,|0.0,
T:0.078125,|0.0,V:0.08854166666666667,|0.0,
T:0.041666666666666664,|0.0,V:0.052083333333333336,|0.0,
T:0.052083333333333336,|0.0,V:0.0625,|0.0,
T:0.06770833333333333,|0.0,V:0.0625,|0.0,
T:0.07291666666666667,|0.0,V:0.0625,|0.0,
T:0.057291666666666664,|0.005208333333333333,V:0.07291666666666667,|0.005208333333333333,
T:0.07291666666666667,|0.0,V:0.078125,|0.0,
T:0.06770833333333333,|0.0,V:0.052083333333333336,|0.0,
T:0.07291666666666667,|0.0,V:0.078125,|0.0,
T:0.057291666666666664,|0.0,V:0.07291666666666667,|0.0,
T:0.057291666666666664,|0.0,V:0.052083333333333336,|0.0,
T:0.07291666666666667,|0.0,V:0.07291666666666667,|0.0,
T:0.052083333333333336,|0.0,V:0.046875,|0.0,
T:0.06770833333333333,|0.0,V:0.036458333333333336,|0.0,
T:0.020833333333333332,|0.0,V:0.09895833333333333,|0.0,
T:0.0625,|0.005208333333333333,V:0.08854166666666667,|0.0,
T:0.041666666666666664,|0.0,V:0.0625,|0.0,
T:0.11979166666666667,|0.0,V:0.052083333333333336,|0.0,
T:0.041666666666666664,|0.0,V:0.057291666666666664,|0.010416666666666666,
T:0.0625,|0.0,V:0.0625,|0.0,
T:0.06770833333333333,|0.0,V:0.078125,|0.0,
T:0.036458333333333336,|0.0,V:0.09895833333333333,|0.0,
T:0.026041666666666668,|0.0,V:0.046875,|0.0,
T:0.06770833333333333,|0.0,V:0.057291666666666664,|0.0,
T:0.046875,|0.005208333333333333,V:0.057291666666666664,|0.0,
T:0.057291666666666664,|0.0,V:0.041666666666666664,|0.0,
T:0.0625,|0.0,V:0.057291666666666664,|0.0,
T:0.06770833333333333,|0.0,V:0.057291666666666664,|0.0,
T:0.046875,|0.0,V:0.041666666666666664,|0.0,
T:0.0625,|0.0,V:0.07291666666666667,|0.0,
T:0.057291666666666664,|0.0,V:0.0625,|0.0,
T:0.078125,|0.0,V:0.09375,|0.0,
T:0.036458333333333336,|0.0,V:0.09895833333333333,|0.0,
T:0.041666666666666664,|0.0,V:0.052083333333333336,|0.0,
T:0.0625,|0.0,V:0.052083333333333336,|0.0,
T:0.036458333333333336,|0.0,V:0.052083333333333336,|0.0,
T:0.078125,|0.0,V:0.041666666666666664,|0.0,
T:0.046875,|0.0,V:0.10416666666666667,|0.0,
T:0.036458333333333336,|0.015625,V:0.041666666666666664,|0.020833333333333332,
T:0.03125,|0.0,V:0.09375,|0.0,
