---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.97350625
mean_fail_rate: 0.02173125
mean_sloth_rate: 0.0047625
recall_50: 1.0
recall_90: 0.9468
mean_wall_collisions: 0.48566875
mean_inefficient_turns: 4.9695625
mean_inefficient_revisits: 1.35085
mean_exploitation_inefficiency: 2.4085328356398974
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.96971875
mean_fail_rate: 0.0248125
mean_sloth_rate: 0.00546875
recall_50: 1.0
recall_90: 0.94
mean_wall_collisions: 0.5443125
mean_inefficient_turns: 5.51003125
mean_inefficient_revisits: 1.56378125
mean_exploitation_inefficiency: 2.5807042772300295
---------------------------------------------------------------
Maze 0| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.34375| IT: 3.15625| IR: 1.125| DI: 4.129032258064516| EI: 4.129032258064516
Maze 1| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 6.125| IR: 1.28125| DI: 3.8551136363636362| EI: nan
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 5.65625| IR: 1.40625| DI: 3.5580357142857144| EI: 3.3208333333333337
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 5.25| IR: 0.71875| DI: 3.395833333333333| EI: 3.395833333333333
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 6.0| IR: 1.46875| DI: 3.15| EI: nan
Maze 5| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.78125| IT: 10.40625| IR: 2.875| DI: 4.599078341013825| EI: 4.599078341013825
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 1.28125| IR: 0.03125| DI: 2.3229166666666665| EI: nan
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.25| IR: 0.34375| DI: 2.553125| EI: nan
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 4.8125| IR: 1.15625| DI: 6.385416666666666| EI: nan
Maze 9| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0625| IR: 0.0| DI: 1.1770833333333333| EI: 1.1770833333333333
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.75| IR: 0.3125| DI: 2.859375| EI: 2.639423076923077
Maze 11| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 1.71875| IR: 0.46875| DI: 2.5659722222222223| EI: 0.9622395833333333
Maze 12| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 1.0| IT: 7.375| IR: 1.96875| DI: 3.1908045977011503| EI: nan
Maze 13| Su: 0.84375| Fa: 0.125| Sl: 0.03125| WC: 2.4375| IT: 19.5625| IR: 6.5| DI: 11.912037037037036| EI: 11.912037037037036
Maze 14| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.34375| IR: 0.53125| DI: 2.2857142857142856| EI: nan
Maze 15| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.59375| IT: 5.875| IR: 1.4375| DI: 8.953333333333335| EI: nan
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.84375| IR: 0.59375| DI: 2.244140625| EI: nan
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 2.65625| IR: 0.9375| DI: 2.994791666666667| EI: 2.113970588235294
