---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.951775
mean_fail_rate: 0.044
mean_sloth_rate: 0.004225
recall_50: 0.9988
recall_90: 0.8684
mean_wall_collisions: 0.361025
mean_inefficient_turns: 6.91589375
mean_inefficient_revisits: 2.535225
mean_exploitation_inefficiency: 3.60671633812324
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.94834375
mean_fail_rate: 0.04615625
mean_sloth_rate: 0.0055
recall_50: 0.998
recall_90: 0.849
mean_wall_collisions: 0.3651875
mean_inefficient_turns: 7.11790625
mean_inefficient_revisits: 2.63371875
mean_exploitation_inefficiency: 3.642634703643762
---------------------------------------------------------------
Maze 0| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.5| IT: 10.6875| IR: 5.125| DI: 8.988095238095239| EI: 8.988095238095239
Maze 1| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.375| IT: 7.78125| IR: 2.875| DI: 4.903030303030302| EI: nan
Maze 2| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.21875| IT: 6.46875| IR: 3.375| DI: 4.191244239631336| EI: 3.911827956989247
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 7.65625| IR: 2.625| DI: 4.8125| EI: 4.8125
Maze 4| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 5.96875| IR: 1.625| DI: 3.3541666666666665| EI: nan
Maze 5| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.4375| IT: 6.53125| IR: 1.875| DI: 3.497448979591837| EI: 3.497448979591837
Maze 6| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.28125| IT: 4.78125| IR: 1.90625| DI: 5.043010752688172| EI: nan
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 6.0625| IR: 0.5625| DI: 3.9437499999999996| EI: nan
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.90625| IR: 0.71875| DI: 3.671875| EI: nan
Maze 9| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.125| EI: 1.125
Maze 10| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.15625| IT: 5.125| IR: 1.125| DI: 3.3548387096774186| EI: 3.0967741935483875
Maze 11| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.125| IT: 4.75| IR: 1.09375| DI: 2.6031746031746033| EI: 0.9761904761904762
Maze 12| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.15625| IT: 4.375| IR: 0.8125| DI: 2.782795698924731| EI: nan
Maze 13| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 1.0625| IT: 16.9375| IR: 10.78125| DI: 14.3625| EI: 14.3625
Maze 14| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.21875| IT: 5.46875| IR: 1.03125| DI: 3.0238095238095237| EI: nan
Maze 15| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 8.1875| IR: 3.28125| DI: 11.606250000000001| EI: nan
Maze 16| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 5.0625| IR: 0.375| DI: 2.73046875| EI: nan
Maze 17| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 7.625| IR: 1.9375| DI: 4.486979166666667| EI: 3.167279411764706
Maze 18| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 10.59375| IR: 4.65625| DI: 8.096875| EI: 2.9988425925925926
Maze 19| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 9.375| IR: 5.0| DI: 5.927884615384615| EI: 2.9639423076923075
Maze 20| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 1.65625| IR: 0.65625| DI: 3.28125| EI: 3.28125
Maze 21| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 4.28125| IR: 1.375| DI: 3.5170454545454546| EI: nan
Maze 22| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 7.09375| IR: 2.65625| DI: 3.736607142857143| EI: nan
Maze 23| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 1.75| IR: 0.28125| DI: 2.928571428571429| EI: 2.928571428571429
Maze 24| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 7.5625| IR: 2.53125| DI: 7.661290322580645| EI: 7.661290322580645
