---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.997325
mean_fail_rate: 0.00265625
mean_sloth_rate: 1.875e-05
recall_50: 1.0
recall_90: 0.997
mean_wall_collisions: 0.094125
mean_inefficient_turns: 2.4091
mean_inefficient_revisits: 0.24433125
mean_exploitation_inefficiency: 1.7623771703876088
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99725
mean_fail_rate: 0.0026875
mean_sloth_rate: 6.25e-05
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.11125
mean_inefficient_turns: 3.20765625
mean_inefficient_revisits: 0.46803125
mean_exploitation_inefficiency: 2.3000118739348276
---------------------------------------------------------------
Maze 0| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.375| IR: 0.03125| DI: 1.3333333333333333| EI: 1.3333333333333333
Maze 1| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 2.71875| IR: 0.21875| DI: 2.5482954545454546| EI: nan
Maze 2| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 5.4375| IR: 0.5| DI: 3.142857142857143| EI: 2.9333333333333336
Maze 3| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 5.5625| IR: 0.6875| DI: 3.8854166666666665| EI: 3.8854166666666665
Maze 4| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.46875| IT: 6.4375| IR: 1.0625| DI: 3.4000000000000004| EI: nan
Maze 5| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.21875| IT: 3.03125| IR: 0.15625| DI: 2.327188940092167| EI: 2.327188940092167
Maze 6| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 1.46875| IR: 0.25| DI: 3.109375| EI: nan
Maze 7| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 1.9375| IR: 0.15625| DI: 2.171875| EI: nan
Maze 8| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.28125| IR: 0.0| DI: 1.390625| EI: nan
Maze 9| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.1875| EI: 1.1875
Maze 10| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.5625| IR: 0.0625| DI: 1.7343750000000002| EI: 1.6009615384615385
Maze 11| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.875| IR: 0.09375| DI: 1.6319444444444446| EI: 0.6119791666666667
Maze 12| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 5.65625| IR: 0.9375| DI: 2.9208333333333334| EI: nan
Maze 13| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.59375| IT: 8.53125| IR: 3.4375| DI: 9.5| EI: 9.5
